old_my_translation,new_deepseek
"30 天退换政策 + 7×24 小时客户支持","30天退换政策及7×24小时客户支持"
"安彼是位于广东潮州的卫生陶瓷品牌 —— 潮州是中国最大的卫生陶瓷生产基地之一。品牌专注于智能马桶及一体化卫浴空间设计，致力于成为面向全国市场的家居品牌。","安彼是位于广东潮州的卫生陶瓷品牌——潮州是中国最大的卫生陶瓷生产基地之一。品牌专注于智能马桶及一体化卫浴空间设计，致力于成为面向全国市场的家居品牌。"
"荣获 2024 潮州卫浴十大品牌","荣获2024潮州卫浴十大品牌"
"2024 消费者喜爱品牌","2024消费者喜爱品牌"
"Dulux Professional 是 AkzoNobel 集团（荷兰，创立于 1792 年，逾 230 年历史）旗下的专业涂料产品线。集团拥有 Dulux、International、Sikkens、Interpon 等全球知名涂料品牌，业务遍及 150 多个国家，员工 34,000 人。","Dulux Professional是AkzoNobel集团（荷兰，创立于1792年，逾230年历史）旗下的专业涂料产品线。集团拥有Dulux、International、Sikkens、Interpon等全球知名涂料品牌，业务遍及150多个国家，员工34,000人。"
"AkzoNobel 总部：荷兰阿姆斯特丹","AkzoNobel总部：荷兰阿姆斯特丹"
"在 150+ 个国家生产","在150余个国家生产"
"全球约 34,000 人","全球约34,000人"
"全球历史最悠久的涂料集团 —— 逾 230 年","全球历史最悠久的涂料集团——逾230年"
"定位「专业解决方案伙伴」—— 为 B2B 提供方案 + 技术 + 配色一站式服务","定位「专业解决方案伙伴」——为B2B提供方案、技术及配色一站式服务"
"东方雨虹是中国领先的防水 + 保温 + 民用建筑涂料集团，在深圳证券交易所上市，代码 002271。2023 年营收约 328 亿元人民币，拥有 1,916 项专利及 68 个生产 + 研发 + 物流基地（其中 3 个位于中国境外）。","东方雨虹是中国领先的防水、保温及民用建筑涂料集团，在深圳证券交易所上市，代码002271。2023年营收约328亿元人民币，拥有1,916项专利及68个生产、研发、物流基地（其中3个位于中国境外）。"
"68 个基地（生产 + 研发 + 物流，含 3 个海外基地）","68个基地（生产、研发、物流，含3个海外基地）"
"年产量超 180 万件","年产量超180万件"
"出口全球 30 多个国家和地区","出口全球30多个国家和地区"
"顺德产业集群 —— 中国领先的金属加工中心","顺德产业集群——中国领先的金属加工中心"
"福建鹏翔实业是位于中国福建省的高端石材制造集团，是亚洲领先的人造石制造商之一。主营产品包括人造石英石、再造大理石（re-engineered marble）、水磨石（terrazzo）及 3D 石英石。集团同时是越南乂安省德盛石材（越南法人公司）的母公司。","福建鹏翔实业是位于中国福建省的高端石材制造集团，是亚洲领先的人造石制造商之一。主营产品包括人造石英石、再造大理石、水磨石及3D石英石。集团同时是越南乂安省德盛石材（越南法人公司）的母公司。"
"全自动人造石生产技术 —— 达国际标准","全自动人造石生产技术——达国际标准"
"越南工厂投资：2,500 万美元，年产能 850 万㎡","越南工厂投资：2,500万美元，年产能850万㎡"
"出口全球 120 多个国家","出口全球120多个国家"
"广东中居亚百建材科技专业生产无机预涂板 —— 又称「冰火板」—— 用于室内外隔墙及吊顶的高端饰面材料。产品具备防火、防潮、防霉、抗菌且无甲醛释放等特性。","广东中居亚百建材科技专业生产无机预涂板——又称「冰火板」——用于室内外隔墙及吊顶的高端饰面材料。产品具备防火、防潮、防霉、抗菌且无甲醛释放等特性。"
"全自动生产线 —— 无机预涂板","全自动生产线——无机预涂板"
"无机预涂板 —— 防火 + 防潮 + 防霉特性","无机预涂板——防火+防潮+防霉特性"
"抗菌、无甲醛释放产品 —— 达医院 + 洁净室标准","抗菌、无甲醛释放产品——达医院+洁净室标准"
"「冰火板」产品 —— 耐火 + 耐低温","「冰火板」产品——耐火+耐低温"
"领沃（LINVOL）是美的集团旗下官方电梯品牌 —— 专注别墅电梯、旧楼加装改造电梯、自动扶梯及乘客电梯。领沃秉持「每一程，都是更好的抵达」理念，将数字技术 + AI 融入电梯全生命周期：设计 → 生产 → 定制 → 研发 → 运行 → 维保。","领沃（LINVOL）是美的集团旗下官方电梯品牌——专注别墅电梯、旧楼加装改造电梯、自动扶梯及乘客电梯。领沃秉持「每一程，都是更好的抵达」理念，将数字技术+AI融入电梯全生命周期：设计→生产→定制→研发→运行→维保。"
"研发 + 工厂区：中国广东省（美的园区）","研发+工厂区：中国广东省（美的园区）"
"美的数字化电梯研发中心 + 佛山园区工厂","美的数字化电梯研发中心+佛山园区工厂"
"美的集团（《财富》世界 500 强）官方电梯品牌","美的集团（《财富》世界500强）官方电梯品牌"
"「管家 + 专家」全周期 —— 终身质保 + 维保","「管家+专家」全周期——终身质保+维保"
"数字技术 + AI 贯穿电梯全生命周期","数字技术+AI贯穿电梯全生命周期"
"4 大产品线：别墅、加装改造、自动扶梯、乘客电梯","4大产品线：别墅、加装改造、自动扶梯、乘客电梯"
"TTLock Sciener (赛脑智能 / 鹿客 LOOCK)","TTLock Sciener (赛脑智能/鹿客 LOOCK)"
"TTLock（由赛脑智能开发）是全球领先的智能锁解决方案供应商 —— 包括适配各类门锁的 PCBA 硬件 + 管理软件平台 + 面向酒店、Airbnb、服务式公寓及企业的集成系统。TTLock 生态连接 30 多家中国软件合作伙伴，服务公寓租赁 + 物业管理市场。","TTLock（由赛脑智能开发）是全球领先的智能锁解决方案供应商——包括适配各类门锁的PCBA硬件+管理软件平台+面向酒店、Airbnb、服务式公寓及企业的集成系统。TTLock生态连接30多家中国软件合作伙伴，服务公寓租赁+物业管理市场。"
"研发 + 生产总部：中国 —— 全球分销","研发+生产总部：中国——全球分销"
"研发中心 + 智能锁专用 PCBA 生产线","研发中心+智能锁专用PCBA生产线"
"PCBA 可集成于各类门锁 —— 将普通锁升级为智能锁","PCBA可集成于各类门锁——将普通锁升级为智能锁"
"30+ 软件合作伙伴生态，服务租赁 + 物业管理市场","30+软件合作伙伴生态，服务租赁+物业管理市场"
"金意陶（广东金意陶陶瓷集团）是中国领先的瓷砖 + 岩板制造商 —— 自称「中国质感砖开创者」。运营总部位于广东佛山禅城区季华路 28 号新城智汇 T6 栋。金意陶定位中高端，拥有 6 大艺术砖系列，并为室内设计提供一站式整体配送服务。","金意陶（广东金意陶陶瓷集团）是中国领先的瓷砖+岩板制造商——自称「中国质感砖开创者」。运营总部位于广东佛山禅城区季华路28号新城智汇T6栋。金意陶定位中高端，拥有6大艺术砖系列，并为室内设计提供一站式整体配送服务。"
"中国广东佛山（禅城季华路 28 号 —— 新城智汇 T6）","中国广东佛山（禅城季华路28号——新城智汇T6）"
"佛山产业集群 ——「中国瓷砖之都」","佛山产业集群——「中国瓷砖之都」"
"6 大专属艺术砖系列 —— 中高端定位","6大专属艺术砖系列——中高端定位"
"另设出口品牌 KITO Ceramics（kitoceramics.com）","另设出口品牌KITO Ceramics（kitoceramics.com）"
"三棵树涂料（SKSHU Paint）是中国上市涂料集团，品牌口号为「树立天地，绿满世界」。公司提供完整的家装产品体系（内墙漆 + 艺术漆 + 小森林板材）及工程产品体系（防水涂料 + 工业涂料）。三棵树推出「马上住」服务 —— 短期交付的家装施工套餐。","三棵树涂料（SKSHU Paint）是中国上市涂料集团，品牌口号为「树立天地，绿满世界」。公司提供完整的家装产品体系（内墙漆+艺术漆+小森林板材）及工程产品体系（防水涂料+工业涂料）。三棵树推出「马上住」服务——短期交付的家装施工套餐。"
"上交所上市集团 —— 大型涂料生产集群体系","上交所上市集团——大型涂料生产集群体系"
"中国大型上市涂料集团 —— 股票代码 SSE 603737","中国大型上市涂料集团——股票代码SSE 603737"
"「马上住」一站式服务 —— 涂装快速交付","「马上住」一站式服务——涂装快速交付"
"完整产品体系：家装 + 工程 + 工业 + 防水","完整产品体系：家装+工程+工业+防水"
"贝朗（BRAVAT）是隶属 Dietsche 集团的高端卫浴品牌 —— Dietsche 是拥有逾百年历史的德国卫浴集团。贝朗定位「生活，从这里真正开始」—— 提供整体卫浴解决方案：智能产品 + 五金 + 马桶 + 浴室家具 + 台盆 + 浴缸 + 淋浴房 + 配件。服务全球市场（德国、美国、中国、巴西、澳大利亚、新加坡、越南、俄罗斯、墨西哥）。","贝朗（BRAVAT）是隶属Dietsche集团的高端卫浴品牌——Dietsche是拥有逾百年历史的德国卫浴集团。贝朗定位「生活，从这里真正开始」——提供整体卫浴解决方案：智能产品+五金+马桶+浴室家具+台盆+浴缸+淋浴房+配件。服务全球市场（德国、美国、中国、巴西、澳大利亚、新加坡、越南、俄罗斯、墨西哥）。"
"中国工厂 + 研发 —— Dietsche 全球体系的一部分","中国工厂+研发——Dietsche全球体系的一部分"
"母公司 Dietsche —— 逾百年历史的德国卫浴集团","母公司Dietsche——逾百年历史的德国卫浴集团"
"完整产品体系：从智能到配件共 8 大系列","完整产品体系：从智能到配件共8大系列"
"分销 10+ 市场：德国、美国、中国、巴西、澳大利亚、新加坡、越南、俄罗斯、墨西哥","分销10+市场：德国、美国、中国、巴西、澳大利亚、新加坡、越南、俄罗斯、墨西哥"
"Sylvania Group（Feilo Sylvania）是源自 1901 年的国际照明集团 —— 全球历史最悠久、最具声誉的照明品牌之一。业务遍及欧洲、拉丁美洲、亚洲及非洲，产品体系覆盖建筑、工业、零售、办公及城市照明。与上海飞乐音响集团合并后，Sylvania 融入中外生态体系，将西方照明技术与中国供应链相结合。","Sylvania Group（Feilo Sylvania）是源自1901年的国际照明集团，全球历史最悠久、最具声誉的照明品牌之一。业务遍及欧洲、拉丁美洲、亚洲及非洲，产品体系覆盖建筑、工业、零售、办公及城市照明。与上海飞乐音响集团合并后，Sylvania融入中外生态体系，将西方照明技术与中国供应链相结合。"
"跨国运营 —— 欧洲总部 + 中国工厂（飞乐）","跨国运营——欧洲总部+中国工厂（飞乐）"
"多大洲研发 + 工厂网络（欧洲、美洲、亚洲）","多洲研发+工厂网络（欧洲、美洲、亚洲）"
"源自 1901 年的国际照明品牌 —— 逾 120 年历史","源自1901年的国际照明品牌——逾120年历史"
"跨大洲运营：欧洲 + 美洲 + 亚洲 + 非洲","跨洲运营：欧洲+美洲+亚洲+非洲"
"隶属 Feilo Sylvania 集团 —— 融合西方技术 + 中国供应链","隶属Feilo Sylvania集团——融合西方技术+中国供应链"
"华越平台上的大多数工厂均支持批发，起订量视型号而定，一般为 10–50 把。您可提交具体数量的询价，供应商将在 24 小时内回复 CIF/DDP 到越南仓的报价。100 把以上的订单通常可在挂牌价基础上享受 8–15% 的折扣。200 把以上的订单可提供 OEM 换标、换皮色、换坐垫服务。","华越平台上的大多数工厂均支持批发，起订量视型号而定，一般为10–50把。您可提交具体数量的询价，供应商将在24小时内回复CIF/DDP到越南仓的报价。100把以上的订单通常可在挂牌价基础上享受8–15%的折扣。200把以上的订单可提供OEM换标、换皮色、换坐垫服务。"
"请先明确：（1）每天的久坐时长——4 小时以内可选基础职员椅，6 小时以上建议选人体工学椅；（2）使用者的身高与体重——椅子须具备合适的升降范围；（3）材质——炎热气候宜选透气网布，空调房则可选皮革/布艺。大批量下单前请先索取样品试用。","请先明确：（1）每天的久坐时长——4小时以内可选基础职员椅，6小时以上建议选人体工学椅；（2）使用者的身高与体重——椅子须具备合适的升降范围；（3）材质——炎热气候宜选透气网布，空调房则可选皮革/布艺。大批量下单前请先索取样品试用。"
"YF-A88 高端网布人体工学椅","YF-A88高端网布人体工学椅"
"A 字脚布雷绒访客椅","A字脚布雷绒访客椅"
"YF-A99 带搁脚人体工学椅","YF-A99带搁脚人体工学椅"
"钢架静电喷涂，德国透气网布，3D S 形曲线靠背，4D 扶手，3 档锁定后仰机构。广东生产，OEM 200pcs+。","钢架静电喷涂，德国透气网布，3D S形曲线靠背，4D扶手，3档锁定后仰机构。广东生产，OEM 200pcs+。"
"4 月","4月"
"1.6mm 意大利头层牛皮，天然乳胶坐垫，电池驱动 8 点按摩系统。5 年质保。适合总裁办公室、高端办公场所。","1.6mm意大利头层牛皮，天然乳胶坐垫，电池驱动8点按摩系统。5年质保。适合总裁办公室、高端办公场所。"
"5 套","5套"
"BS5852 阻燃绒布，钢架静电喷涂，PU 模塑坐垫。可叠放 10 把。是会议室、礼堂、活动区域的理想之选。","BS5852阻燃绒布，钢架静电喷涂，PU模塑坐垫。可叠放10把。是会议室、礼堂、活动区域的理想之选。"
"20 套","20套"
"AKF-X3 人体工学办公椅 美国网布 铝合金脚 动态腰托","AKF-X3人体工学办公椅 美国网布 铝合金脚 动态腰托"
"USA Matrex2 网布，气压自适应腰托，5D 扶手，360 旋转头枕。通过 BIFMA、GREENGUARD GOLD 认证。框架质保 12 年。","USA Matrex2网布，气压自适应腰托，5D扶手，360旋转头枕。通过BIFMA、GREENGUARD GOLD认证。框架质保12年。"
"10 套","10套"
"广州 AKF 家具有限公司","广州AKF家具有限公司"
"360 旋转职员椅 网布靠背 固定扶手 五星塑料脚","360旋转职员椅 网布靠背 固定扶手 五星塑料脚"
